client_name,day_of_week,quantity,서비스 종류,성비(남:녀),업종,temperature,메인 메뉴,food_class,spicy,food_temperature_level,basic_quantity
로지올,화,67,베이직,7:3,IT,-1,불고기산채비빔밥,한식,0.5,1,75
리벨리온,화,27,베이직,7:3,IT,-1,불고기산채비빔밥,한식,0.5,1,28
마인드로직,화,19,베이직,5:5,IT,-1,불고기산채비빔밥,한식,0.5,1,25
메드트로닉,화,74,베이직,7:3,무역,-1,불고기산채비빔밥,한식,0.5,1,75
뱅크샐러드,화,48,베이직,6:4,IT,-1,불고기산채비빔밥,한식,0.5,1,50
버핏서울,화,19,베이직,7:3,헬스케어,-1,불고기산채비빔밥,한식,0.5,1,35
부농,화,24,베이직,7:3,제조,-1,불고기산채비빔밥,한식,0.5,1,25
분당메모리얼파크,화,29,베이직,5:5,서비스,-1,불고기산채비빔밥,한식,0.5,1,40
비트센싱,화,21,베이직,6:4,IT,-1,불고기산채비빔밥,한식,0.5,1,36
비헤이브글로벌,화,30,베이직,5:5,마케팅,-1,불고기산채비빔밥,한식,0.5,1,35
세종메디칼,화,28,베이직,7:3,의료,-1,불고기산채비빔밥,한식,0.5,1,70
소프트팩,화,52,베이직,3:7,식음료,-1,불고기산채비빔밥,한식,0.5,1,55
슈퍼진,화,16,베이직,7:3,게임,-1,불고기산채비빔밥,한식,0.5,1,55
스탠다드치과,화,17,베이직,7:3,의료,-1,불고기산채비빔밥,한식,0.5,1,30
알파투쎄븐쓰리,화,42,베이직,7:3,IT,-1,불고기산채비빔밥,한식,0.5,1,20
엔라이즈,화,33,베이직,7:3,IT,-1,불고기산채비빔밥,한식,0.5,1,40
엠레드클리닉,화,23,베이직,2:8,미용,-1,불고기산채비빔밥,한식,0.5,1,30
오가나셀피부과,화,33,프리미엄,3:7,미용,-1,불고기산채비빔밥,한식,0.5,1,45
오누이,화,27,프리미엄,8:2,IT,-1,불고기산채비빔밥,한식,0.5,1,50
더퍼스트터치,수,34,베이직,7:3,제조,0,소고기데리야끼,일식,0.3,1,95
디엔코리아,수,24,베이직,7:3,IT,0,소고기데리야끼,일식,0.3,1,35
로지올,수,70,베이직,7:3,IT,0,소고기데리야끼,일식,0.3,1,75
리벨리온,수,28,베이직,7:3,IT,0,소고기데리야끼,일식,0.3,1,28
마인드로직,수,20,베이직,5:5,IT,0,소고기데리야끼,일식,0.3,1,25
메드트로닉,수,78,베이직,7:3,무역,0,소고기데리야끼,일식,0.3,1,75
뱅크샐러드,수,50,베이직,6:4,IT,0,소고기데리야끼,일식,0.3,1,50
버핏서울,수,20,베이직,7:3,헬스케어,0,소고기데리야끼,일식,0.3,1,35
부농,수,25,베이직,7:3,제조,0,소고기데리야끼,일식,0.3,1,25
분당메모리얼파크,수,31,베이직,5:5,서비스,0,소고기데리야끼,일식,0.3,1,40
