client,date,dayofweek,temperature,menu,service_type,food_class,spicy,salty,sugar,quantity,basic_quantity
Gen.G,2021-05-31 00:00:00+09:00,0,24,닭강정백반,도시락-레귤러,한식,0,0.5,0.7,90,42
더퍼스트터치,2021-05-31 00:00:00+09:00,0,24,베트남돼지구이백반,케이터링-프리미엄,아시안,0.3,0.4,0.3,90,95
메드트로닉,2021-05-31 00:00:00+09:00,0,24,베트남돼지구이백반,케이터링-프리미엄,아시안,0.3,0.4,0.3,70,75
버드뷰,2021-05-31 00:00:00+09:00,0,24,춘천식 닭갈비,도시락-베이직,한식,0.5,0.7,0.6,32,35
세종메디칼,2021-05-31 00:00:00+09:00,0,24,서울식불고기,도시락-프리미엄,한식,0.3,0.5,0.6,70,70
위시켓,2021-05-31 00:00:00+09:00,0,24,갈비치킨백반,케이터링-레귤러,한식,0.8,0.5,0.6,120,130
크래프톤,2021-05-31 00:00:00+09:00,0,24,춘천식 닭갈비,도시락-베이직,한식,0.5,0.7,0.6,40,120
크래프톤,2021-05-31 00:00:00+09:00,0,24,갈비치킨백반,케이터링-레귤러,한식,0.8,0.5,0.6,70,120
하우투메리,2021-05-31 00:00:00+09:00,0,24,베트남돼지구이백반,케이터링-프리미엄,아시안,0.3,0.4,0.3,30,30
휴이노,2021-05-31 00:00:00+09:00,0,24,돼지불백백반,케이터링-베이직,한식,0.6,0.6,0.5,80,80
Gen.G,2021-06-01 00:00:00+09:00,1,25,고추장제육백반,도시락-레귤러,한식,0.6,0.6,0.6,90,42
더퍼스트터치,2021-06-01 00:00:00+09:00,1,25,육회비빔밥백반,케이터링-프리미엄,한식,0.5,0.6,0.5,90,95
메드트로닉,2021-06-01 00:00:00+09:00,1,25,육회비빔밥백반,케이터링-프리미엄,한식,0.5,0.6,0.5,70,75
버드뷰,2021-06-01 00:00:00+09:00,1,25,경양식함박 스테이크 백반,도시락-베이직,양식,0.3,0.4,0.1,35,35
세종메디칼,2021-06-01 00:00:00+09:00,1,25,매운닭찜,도시락-프리미엄,한식,0.9,0.6,0.6,70,70
위시켓,2021-06-01 00:00:00+09:00,1,25,그릴드 목살 스테이크,케이터링-레귤러,양식,0.1,0.3,0.2,125,130
크래프톤,2021-06-01 00:00:00+09:00,1,25,그릴드 목살 스테이크,케이터링-레귤러,양식,0.1,0.3,0.2,70,120
크래프톤,2021-06-01 00:00:00+09:00,1,25,경양식함박 스테이크 백반,도시락-베이직,양식,0.3,0.4,0.1,40,120
하우투메리,2021-06-01 00:00:00+09:00,1,25,육회비빔밥백반,케이터링-프리미엄,한식,0.5,0.6,0.5,30,30
휴이노,2021-06-01 00:00:00+09:00,1,25,매운닭찜 & LA갈비,케이터링-베이직,한식,0.9,0.6,0.6,80,80
Gen.G,2021-06-02 00:00:00+09:00,2,30,매콤소불고기백반,도시락-레귤러,한식,0.8,0.4,0.6,90,42
더퍼스트터치,2021-06-02 00:00:00+09:00,2,30,쭈꾸미 삼겹구이,케이터링-프리미엄,한식,0.4,0.5,0.5,85,95
메드트로닉,2021-06-02 00:00:00+09:00,2,30,쭈꾸미 삼겹구이,케이터링-프리미엄,한식,0.4,0.5,0.5,70,75
버드뷰,2021-06-02 00:00:00+09:00,2,30,우삼겹 깍두기 볶음밥,도시락-베이직,한식,0.6,0.5,0.5,30,35
세종메디칼,2021-06-02 00:00:00+09:00,2,30,유린기 정식,도시락-프리미엄,중식,0.4,0.7,0.4,70,70
위시켓,2021-06-02 00:00:00+09:00,2,30,마늘보쌈,케이터링-레귤러,한식,0,0.5,0.3,110,130
크래프톤,2021-06-02 00:00:00+09:00,2,30,마늘보쌈,케이터링-레귤러,한식,0,0.5,0.3,70,120
크래프톤,2021-06-02 00:00:00+09:00,2,30,우삼겹 깍두기 볶음밥,도시락-베이직,한식,0.6,0.5,0.5,40,120
하우투메리,2021-06-02 00:00:00+09:00,2,30,쭈꾸미 삼겹구이,케이터링-프리미엄,한식,0.4,0.5,0.5,30,30
휴이노,2021-06-02 00:00:00+09:00,2,30,아마트리치아나 파스타,케이터링-베이직,양식,0.7,0.5,0.4,80,80
Gen.G,2021-06-03 00:00:00+09:00,3,23,수제 떡갈비,도시락-레귤러,한식,0.1,0.4,0.5,90,42
더퍼스트터치,2021-06-03 00:00:00+09:00,3,23,핫치킨 고로케,케이터링-프리미엄,한식,0.5,0.6,0.5,80,95
메드트로닉,2021-06-03 00:00:00+09:00,3,23,핫치킨 고로케,케이터링-프리미엄,한식,0.5,0.6,0.5,70,75
버드뷰,2021-06-03 00:00:00+09:00,3,23,탕수육,도시락-베이직,중식,0.2,0.4,0.6,32,35
세종메디칼,2021-06-03 00:00:00+09:00,3,23,점보닭다리오븐구이,도시락-프리미엄,한식,0.2,0.5,0.6,68,70
위시켓,2021-06-03 00:00:00+09:00,3,23,수제 떡갈비,케이터링-레귤러,한식,0.1,0.4,0.5,120,130
크래프톤,2021-06-03 00:00:00+09:00,3,23,수제 떡갈비,케이터링-레귤러,한식,0.1,0.4,0.5,70,120
크래프톤,2021-06-03 00:00:00+09:00,3,23,탕수육,도시락-베이직,중식,0.2,0.4,0.6,35,120
하우투메리,2021-06-03 00:00:00+09:00,3,23,핫치킨 고로케,케이터링-프리미엄,한식,0.5,0.6,0.5,30,30
휴이노,2021-06-03 00:00:00+09:00,3,23,마파두부,케이터링-베이직,한식,0.6,0.5,0.4,80,80
Gen.G,2021-06-04 00:00:00+09:00,4,23,태국식삼겹볶음백반,도시락-레귤러,아시안,0.4,0.5,0.5,90,42
더퍼스트터치,2021-06-04 00:00:00+09:00,4,23,부채살스테이크백반,케이터링-프리미엄,양식,0,0.3,0.2,80,95
메드트로닉,2021-06-04 00:00:00+09:00,4,23,부채살스테이크백반,케이터링-프리미엄,양식,0,0.3,0.2,70,75
버드뷰,2021-06-04 00:00:00+09:00,4,23,파불고기백반,도시락-베이직,한식,0.1,0.5,0.5,30,35
세종메디칼,2021-06-04 00:00:00+09:00,4,23,버섯소불고기,도시락-프리미엄,한식,0.3,0.5,0.6,65,70
위시켓,2021-06-04 00:00:00+09:00,4,23,일본식 차슈 덮밥,케이터링-레귤러,일식,0.1,0.5,0.5,120,130
크래프톤,2021-06-04 00:00:00+09:00,4,23,일본식 차슈 덮밥,케이터링-레귤러,일식,0.1,0.5,0.5,70,120
크래프톤,2021-06-04 00:00:00+09:00,4,23,파불고기백반,도시락-베이직,한식,0.1,0.5,0.5,35,120
하우투메리,2021-06-04 00:00:00+09:00,4,23,부채살스테이크백반,케이터링-프리미엄,양식,0,0.3,0.2,30,30
휴이노,2021-06-04 00:00:00+09:00,4,23,간장닭볶음탕백반,케이터링-베이직,한식,0.3,0.7,0.5,80,80
Gen.G,2021-06-07 00:00:00+09:00,0,25,서울식불고기,도시락-레귤러,한식,0.3,0.5,0.6,92,42
더퍼스트터치,2021-06-07 00:00:00+09:00,0,25,돼지불백백반,케이터링-프리미엄,한식,0.6,0.6,0.5,90,95
메드트로닉,2021-06-07 00:00:00+09:00,0,25,돼지불백백반,케이터링-프리미엄,한식,0.6,0.6,0.5,70,75
버드뷰,2021-06-07 00:00:00+09:00,0,25,닭강정백반,도시락-베이직,한식,0,0.5,0.7,30,35
세종메디칼,2021-06-07 00:00:00+09:00,0,25,황태 고추장 구이,도시락-프리미엄,한식,0.5,0.5,0.6,70,70
위시켓,2021-06-07 00:00:00+09:00,0,25,베트남돼지구이백반,케이터링-레귤러,아시안,0.3,0.4,0.3,115,130
크래프톤,2021-06-07 00:00:00+09:00,0,25,베트남돼지구이백반,케이터링-레귤러,아시안,0.3,0.4,0.3,50,120
크래프톤,2021-06-07 00:00:00+09:00,0,25,닭강정백반,도시락-베이직,한식,0,0.5,0.7,50,120
하우투메리,2021-06-07 00:00:00+09:00,0,25,돼지불백백반,케이터링-프리미엄,한식,0.6,0.6,0.5,30,30
휴이노,2021-06-07 00:00:00+09:00,0,25,갈비치킨백반,케이터링-베이직,한식,0.8,0.5,0.6,80,80
Gen.G,2021-06-08 00:00:00+09:00,1,27,매운닭찜,도시락-레귤러,한식,0.9,0.6,0.6,93,42
