고객사명,요일,식수량(인분),서비스 종류,성비(남:녀),업종,최고온도,메인 메뉴,분류,맵기,염도,당도,1인당 소비량(g),1인당 제공량
라포랩스,화,28,베이직,7:3,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
로지올,화,67,베이직,7:3,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
리벨리온,화,27,베이직,7:3,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
마스턴,화,121,프리미엄,7:3,금융,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,120,140
마인드로직,화,19,베이직,5:5,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,118,140
마켓잇,화,52,베이직,7:3,마케팅,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
메드트로닉,화,74,베이직,7:3,무역,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
메쉬코리아,화,21,베이직,6:4,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
모빌,화,41,베이직,6:4,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
무궁화신탁,화,113,베이직,6:4,금융,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
뱅크샐러드,화,48,베이직,6:4,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
버드뷰,화,32,베이직,7:3,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,120,140
버킷플레이스,화,127,베이직,5:5,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
버튼,화,26,베이직,6:4,게임,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
버핏서울,화,19,베이직,7:3,헬스케어,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
부농,화,24,베이직,7:3,제조,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,114,140
분당메모리얼파크,화,29,베이직,5:5,서비스,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,123,140
뷰노,화,89,베이직,7:3,의료,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
비트센싱,화,21,베이직,6:4,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,112,140
비헤이브글로벌,화,30,베이직,5:5,마케팅,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,123,140
세종메디칼,화,28,베이직,7:3,의료,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,116,140
세컨신드롬,화,23,베이직,6:4,임대,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,120,140
소프트팩,화,52,베이직,3:7,식음료,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
슈퍼진,화,16,베이직,7:3,게임,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
스노우폭스,화,64,베이직,6:4,식음료,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,123,140
스탠다드치과,화,17,베이직,7:3,의료,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,123,140
시지바이오,화,101,베이직,7:3,의료,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,123,140
쓰리빌리언,화,30,베이직,7:3,의료,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
알파투쎄븐쓰리,화,42,베이직,7:3,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
앤비젼,화,63,프리미엄,7:3,전기전자,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
어메이징브루어리,화,16,베이직,6:4,식음료,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,112,140
에코마케팅,화,122,베이직,5:5,마케팅,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
에픽게임즈,화,93,베이직,7:3,게임,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140
