고객사명,요일,식수량(인분),서비스 종류,성비(남:녀),업종,최고온도,메인 메뉴,분류,맵기,염도,당도,1인당 소비량(g),1인당 제공량,기준 식수량
리벨리온,월,26,베이직,7:3,IT,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,126,140,28
리벨리온,화,12,베이직,7:3,IT,0,소고기데리야끼,일식,0.3,0.5,0.7,126,140,28
리벨리온,수,21,베이직,7:3,IT,4,팟타이,아시안,0.6,0.6,0.7,136,160,28
리벨리온,목,25,베이직,7:3,IT,6,스팸김치볶음밥,한식,0.6,0.5,0.5,191,200,28
리벨리온,금,25,베이직,7:3,IT,7,일본식 타르타르 치킨 덮밥,일식,0.1,0.7,0.6,146,160,28
리벨리온,월,25,베이직,7:3,IT,7,육회비빔밥,한식,0.5,0.6,0.5,191,200,28
리벨리온,화,26,베이직,7:3,IT,5,일본식소고기조림덮밥,일식,0,0.6,0.3,186,200,28
리벨리온,수,21,베이직,7:3,IT,6,데리야끼소고기조림,일식,0.3,0.6,0.7,126,140,28
리벨리온,목,22,베이직,7:3,IT,9,통호밀 모짜 샌드위치,양식,0,0.2,0.6,191,210,28
리벨리온,금,25,베이직,7:3,IT,9,수제쉬림프버거,양식,0,0.5,0.6,181,200,28
리벨리온,월,26,베이직,7:3,IT,3,매운닭갈비,한식,0.8,0.5,0.6,151,160,28
리벨리온,화,25,베이직,7:3,IT,2,청양고추봄냉이소불고기,한식,0.9,0.4,0.5,131,140,28
리벨리온,수,25,베이직,7:3,IT,3,마늘치킨윙,한식,0.6,0.6,0.7,151,160,28
리벨리온,목,25,베이직,7:3,IT,5,어향새우가지,중식,0.5,0.7,0.3,126,140,28
리벨리온,금,22,베이직,7:3,IT,10,깍두기 볶음밥,한식,0.5,0.6,0.3,191,200,28
리벨리온,월,26,베이직,7:3,IT,12,수제쉬림프버거,양식,0,0.5,0.6,181,200,28
리벨리온,화,25,베이직,7:3,IT,13,간장닭볶음탕,한식,0.3,0.7,0.5,151,160,28
리벨리온,수,22,베이직,7:3,IT,12,돼지목살김치찜,한식,0.6,0.7,0.4,131,140,28
