고객사명,요일,식수량(인분),서비스 종류,성비(남:녀),업종,최고온도,메인 메뉴,분류,맵기,염도,당도,1인당 소비량(g),1인당 제공량,기준 식수량
마스턴,월,118,프리미엄,7:3,금융,-1,불고기산채비빔밥,한식,0.5,0.4,0.5,120,140,127
마스턴,화,84,프리미엄,7:3,금융,0,소고기데리야끼,일식,0.3,0.5,0.7,120,140,127
마스턴,수,106,프리미엄,7:3,금융,4,팟타이,아시안,0.6,0.6,0.7,130,160,127
마스턴,목,105,프리미엄,7:3,금융,6,스팸김치볶음밥,한식,0.6,0.5,0.5,185,200,127
마스턴,금,118,프리미엄,7:3,금융,6,비빔파스타,한식,0.8,0.6,0.7,105,120,127
마스턴,월,122,프리미엄,7:3,금융,7,일본식 타르타르 치킨 덮밥,일식,0.1,0.7,0.6,140,160,127
마스턴,화,99,프리미엄,7:3,금융,7,육회비빔밥,한식,0.5,0.6,0.5,185,200,127
마스턴,수,105,프리미엄,7:3,금융,5,매운갈비찜,한식,0.8,0.5,0.6,125,140,127
마스턴,목,121,프리미엄,7:3,금융,2,감자 사라다 샌드위치,한식,0,0.2,0.6,195,210,127
마스턴,금,120,프리미엄,7:3,금융,5,일본식소고기조림덮밥,일식,0,0.6,0.3,180,200,127
마스턴,월,100,프리미엄,7:3,금융,6,데리야끼소고기조림,일식,0.3,0.6,0.7,120,140,127
마스턴,화,105,프리미엄,7:3,금융,-1,가라아게덮밥,일식,0.2,0.6,0.3,175,200,127
마스턴,수,110,프리미엄,7:3,금융,3,보쌈오겹살,한식,0,0.5,0.3,125,140,127
마스턴,목,106,프리미엄,7:3,금융,9,통호밀 모짜 샌드위치,양식,0,0.2,0.6,185,210,127
마스턴,금,75,프리미엄,7:3,금융,9,수제쉬림프버거,양식,0,0.5,0.6,175,200,127
마스턴,월,108,프리미엄,7:3,금융,-1,해산물 그린커리,아시안,0.5,0.4,0.1,105,140,127
마스턴,화,120,프리미엄,7:3,금융,-4,고추장소불고기,한식,0.6,0.7,0.6,120,140,127
마스턴,수,119,프리미엄,7:3,금융,3,매운닭갈비,한식,0.8,0.5,0.6,145,160,127
마스턴,목,78,프리미엄,7:3,금융,2,청양고추봄냉이소불고기,한식,0.9,0.4,0.5,125,140,127
마스턴,금,108,프리미엄,7:3,금융,4,해산물 그린커리,아시안,0.5,0.4,0.1,110,140,127
마스턴,월,120,프리미엄,7:3,금융,1,김치제육볶음,한식,0.5,0.6,0.4,125,140,127
마스턴,화,116,프리미엄,7:3,금융,3,마늘치킨윙,한식,0.6,0.6,0.7,145,160,127
마스턴,수,100,프리미엄,7:3,금융,5,어향새우가지,중식,0.5,0.7,0.3,120,140,127
마스턴,목,103,프리미엄,7:3,금융,7,브로콜리소고기볶음,한식,0.2,0.4,0.4,125,140,127
마스턴,금,122,프리미엄,7:3,금융,9,유린기,중식,0.4,0.7,0.4,130,150,127
마스턴,월,106,프리미엄,7:3,금융,10,깍두기 볶음밥,한식,0.5,0.6,0.3,185,200,127
마스턴,화,100,프리미엄,7:3,금융,12,수제쉬림프버거,양식,0,0.5,0.6,175,200,127
마스턴,수,96,프리미엄,7:3,금융,12,돼지고기생강구이,한식,0,0.5,0.5,125,140,127
마스턴,목,119,프리미엄,7:3,금융,12,에그롤 샌드위치,양식,0,0.3,0.6,185,210,127
마스턴,금,121,프리미엄,7:3,금융,13,간장닭볶음탕,한식,0.3,0.7,0.5,145,160,127
마스턴,월,97,프리미엄,7:3,금융,12,돼지목살김치찜,한식,0.6,0.7,0.4,125,140,127
마스턴,화,93,프리미엄,7:3,금융,12,매운닭갈비,한식,0.8,0.5,0.6,145,160,127
마스턴,수,109,프리미엄,7:3,금융,11,고르곤졸라 만조 파스타,양식,0.1,0.4,0.6,115,140,127
마스턴,목,106,프리미엄,7:3,금융,9,트러플 페스토 파스타,양식,0.1,0.4,0.4,115,140,127
마스턴,금,101,프리미엄,7:3,금융,8,연어포케,양식,0,0.3,0.3,95,120,127
마스턴,월,94,프리미엄,7:3,금융,9,돼지고기짜장볶음,한식,0.2,0.6,0.6,125,140,127
마스턴,화,121,프리미엄,7:3,금융,12,카다이프롤,양식,0.2,0.4,0.5,115,140,127
마스턴,수,108,프리미엄,7:3,금융,15,돼지등갈비김치찜,한식,0.6,0.7,0.4,125,140,127
마스턴,목,85,프리미엄,7:3,금융,15,허브버터로스트치킨,양식,0.2,0.4,0.3,135,160,127
마스턴,금,102,프리미엄,7:3,금융,12,토마토 모짜렐라 크로와상,양식,0,0.2,0.5,115,140,127
마스턴,월,120,프리미엄,7:3,금융,8,어향가지삼겹볶음,중식,0.4,0.6,0.3,120,140,127
마스턴,화,121,프리미엄,7:3,금융,16,소고기소보로동,일식,0,0.4,0.5,120,140,127
마스턴,수,100,프리미엄,7:3,금융,16,춘천닭갈비,한식,0.5,0.7,0.6,145,160,127
마스턴,목,105,프리미엄,7:3,금융,13,돼지갈비간장조림,한식,0.3,0.6,0.6,125,140,127
마스턴,금,108,프리미엄,7:3,금융,13,버섯 소불고기,한식,0.3,0.5,0.6,125,140,127
마스턴,월,122,프리미엄,7:3,금융,12,토마토미트볼,양식,0.5,0.5,0.5,115,140,127
마스턴,화,100,프리미엄,7:3,금융,13,매콤납작잡채,한식,0.9,0.5,0.4,125,140,127
마스턴,수,106,프리미엄,7:3,금융,14,고추장제육볶음,한식,0.6,0.6,0.6,125,140,127
마스턴,목,116,프리미엄,7:3,금융,17,오겹두루치기,한식,0.6,0.7,0.5,125,140,127
마스턴,금,118,프리미엄,7:3,금융,15,오향장육,중식,0.5,0.6,0.5,120,140,127
마스턴,월,98,프리미엄,7:3,금융,10,간장삼겹케일볶음,한식,0.3,0.5,0.4,125,140,127
마스턴,화,108,프리미엄,7:3,금융,15,데리야끼간장소불고기,일식,0.2,0.6,0.7,120,140,127
마스턴,수,120,프리미엄,7:3,금융,18,매콤차돌박이덮밥,한식,0.8,0.4,0.6,185,200,127
마스턴,목,119,프리미엄,7:3,금융,21,오징어튀김&타르타르소스,일식,0,0.5,0.4,110,130,127
마스턴,금,86,프리미엄,7:3,금융,21,소고기고추장볶음,한식,0.7,0.5,0.5,125,140,127
마스턴,월,102,프리미엄,7:3,금융,16,치미추리 부채살 스테이크,양식,0,0.3,0.2,115,140,127
마스턴,화,110,프리미엄,7:3,금융,19,꿔바로우,중식,0,0.4,0.8,120,140,127
마스턴,수,107,프리미엄,7:3,금융,25,레드미트볼,양식,0.2,0.5,0.5,115,140,127
마스턴,목,100,프리미엄,7:3,금융,25,트러플펜네파스타,양식,0.3,0.6,0.5,115,140,127
마스턴,금,107,프리미엄,7:3,금융,15,고추장 제육,한식,0.6,0.5,0.5,125,140,127
마스턴,월,120,프리미엄,7:3,금융,10,소고기 비빔밥,한식,0.3,0.4,0.2,125,140,127
마스턴,화,118,프리미엄,7:3,금융,22,돼지고기생강구이,한식,0,0.5,0.5,125,140,127
마스턴,수,99,프리미엄,7:3,금융,21,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,125,140,127
마스턴,목,104,프리미엄,7:3,금융,25,오겹두루치기,한식,0.6,0.7,0.5,125,140,127
마스턴,금,121,프리미엄,7:3,금융,25,스테이크덮밥,일식,0.1,0.6,0.3,180,200,127
마스턴,월,120,프리미엄,7:3,금융,21,돈까스덮밥,일식,0,0.5,0.2,180,200,127
마스턴,화,98,프리미엄,7:3,금융,20,김치 돼지 두루치기,한식,0.5,0.6,0.6,125,140,127
마스턴,수,101,프리미엄,7:3,금융,22,미소닭날개조림,한식,0.2,0.7,0.3,145,160,127
마스턴,목,122,프리미엄,7:3,금융,25,마라치킨라이스덮밥,중식,0.7,0.5,0.5,180,200,127
마스턴,금,108,프리미엄,7:3,금융,26,돼지오겹두루치기,한식,0.6,0.6,0.6,125,140,127
마스턴,월,90,프리미엄,7:3,금융,27,비프부르기뇽,양식,0.3,0.5,0.5,135,160,127
마스턴,화,104,프리미엄,7:3,금융,29,시래기등갈비찜,한식,0.4,0.6,0.4,115,140,127
마스턴,수,121,프리미엄,7:3,금융,28,소고기고추장불고기,한식,0.7,0.5,0.6,125,140,127
마스턴,목,107,프리미엄,7:3,금융,24,콩나물소불고기,한식,0.6,0.7,0.4,125,140,127
마스턴,금,98,프리미엄,7:3,금융,26,트러플규동,양식,0,0.5,0.5,115,140,127
마스턴,월,95,프리미엄,7:3,금융,28,돼지갈비간장조림,한식,0.3,0.6,0.6,125,140,127
마스턴,화,115,프리미엄,7:3,금융,32,매운돼지고기전복덮밥,한식,0.9,0.6,0.5,175,200,127
마스턴,수,120,프리미엄,7:3,금융,23,탄탄멘,중식,1,0.8,0.1,180,200,127
마스턴,목,100,프리미엄,7:3,금융,26,들깨불고기,한식,0.2,0.4,0.2,125,140,127
마스턴,금,106,프리미엄,7:3,금융,24,소양지국밥,한식,0,0.4,0,205,220,127
마스턴,월,122,프리미엄,7:3,금융,23,시래기등갈비찜,한식,0.4,0.6,0.4,125,140,127
마스턴,화,118,프리미엄,7:3,금융,27,견과류 양념치킨,한식,0.2,0.4,0.6,145,160,127
마스턴,수,75,프리미엄,7:3,금융,26,고추장 제육,한식,0.6,0.5,0.5,125,140,127
마스턴,목,94,프리미엄,7:3,금융,24,카라멜라이즈 차슈 비빔 파스타,아시안,0.7,0.5,0.7,110,140,127
마스턴,금,118,프리미엄,7:3,금융,25,트러플 페스토 파스타,양식,0.1,0.4,0.4,115,140,127
마스턴,월,97,프리미엄,7:3,금융,25,돼지고기두부김치,한식,0.5,0.5,0.5,125,140,127
마스턴,화,106,프리미엄,7:3,금융,28,달걀볶음밥,한식,0,0.3,0.2,185,200,127
마스턴,수,118,프리미엄,7:3,금융,28,들깨등갈비찜,한식,0.3,0.4,0.4,125,140,127
마스턴,목,118,프리미엄,7:3,금융,25,소갈비탕,한식,0.3,0.6,0.6,205,220,127
마스턴,금,99,프리미엄,7:3,금융,26,문어비빔밥,한식,0.6,0.5,0.5,185,200,127
마스턴,월,106,프리미엄,7:3,금융,26,문어비빔밥,한식,0.6,0.5,0.5,145,200,127
마스턴,화,110,프리미엄,7:3,금융,26,궁중떡볶이,한식,0.2,0.5,0.7,125,140,127
마스턴,수,112,프리미엄,7:3,금융,31,돼지목살풋마늘김치찜,한식,0.5,0.6,0.5,115,140,127
마스턴,목,90,프리미엄,7:3,금융,30,막국수,한식,0.6,0.7,0.6,125,150,127
마스턴,금,96,프리미엄,7:3,금융,31,막국수,한식,0.6,0.7,0.6,175,150,127
마스턴,월,87,프리미엄,7:3,금융,28,찹스테이크,양식,0.3,0.4,0.1,115,140,127
마스턴,화,119,프리미엄,7:3,금융,29,뉴욕 스트릿 커리 치킨 라이스,아시안,0.3,0.4,0,120,160,127
마스턴,수,90,프리미엄,7:3,금융,27,수제커리돈까스,일식,0,0.5,0.4,120,140,127
마스턴,목,86,프리미엄,7:3,금융,31,수제커리돈까스,일식,0,0.5,0.4,130,140,127
마스턴,금,112,프리미엄,7:3,금융,33,쉬림프콥샐러드,양식,0,0.3,0.5,185,220,127
마스턴,월,120,프리미엄,7:3,금융,31,가지튀김덮밥,한식,0.2,0.6,0.3,175,200,127
마스턴,화,99,프리미엄,7:3,금융,27,소고기 비빔밥,한식,0.3,0.4,0.2,125,140,127
마스턴,수,86,프리미엄,7:3,금융,24,소고기 비빔밥,한식,0.3,0.4,0.2,125,140,127
마스턴,목,98,프리미엄,7:3,금융,27,그린커리,아시안,0.4,0.3,0.3,110,140,127
마스턴,금,111,프리미엄,7:3,금융,29,라구파스타,양식,0,0.5,0.5,105,140,127
마스턴,월,88,프리미엄,7:3,금융,29,치밥치킨,한식,0.3,0.6,0.6,135,160,127
마스턴,화,95,프리미엄,7:3,금융,33,치밥치킨,한식,0.3,0.6,0.6,115,160,127
마스턴,수,106,프리미엄,7:3,금융,35,항정살 된장구이,한식,0.2,0.6,0.3,115,140,127
마스턴,목,122,프리미엄,7:3,금융,34,중화삼겹볶음,중식,0.7,0.6,0.5,110,140,127
마스턴,금,101,프리미엄,7:3,금융,28,불고기떡갈비,한식,0.3,0.4,0.6,145,160,127
마스턴,월,106,프리미엄,7:3,금융,27,불고기떡갈비,한식,0.3,0.4,0.6,180,160,127
마스턴,화,109,프리미엄,7:3,금융,26,고추장닭구이,한식,0.5,0.5,0.6,145,160,127
마스턴,수,119,프리미엄,7:3,금융,31,연어장,한식,0.6,0.9,0,75,100,127
마스턴,목,91,프리미엄,7:3,금융,27,LA 갈비,한식,0,0.6,0.6,145,160,127
마스턴,금,94,프리미엄,7:3,금융,30,LA 갈비,한식,0,0.6,0.6,115,160,127
마스턴,월,112,프리미엄,7:3,금융,33,삼겹살두루치기,한식,0.6,0.7,0.5,135,160,127
마스턴,화,97,프리미엄,7:3,금융,36,맑은대구지리탕,한식,0.3,0.4,0.2,195,220,127
마스턴,수,78,프리미엄,7:3,금융,31,참치포케,양식,0.2,0.5,0.3,105,140,127
마스턴,목,76,프리미엄,7:3,금융,33,참치포케,양식,0.2,0.5,0.3,110,140,127
마스턴,금,110,프리미엄,7:3,금융,33,해산물 그린커리,아시안,0.5,0.4,0.1,100,140,127
마스턴,월,110,프리미엄,7:3,금융,34,김치삼겹두루치기,한식,0.5,0.6,0.6,115,140,127
마스턴,화,99,프리미엄,7:3,금융,34,쭈삼불고기,한식,0.8,0.7,0.5,115,140,127
마스턴,수,97,프리미엄,7:3,금융,26,쭈삼불고기,한식,0.8,0.7,0.5,145,140,127
마스턴,목,100,프리미엄,7:3,금융,30,간장삼겹케일볶음,한식,0.3,0.5,0.4,115,140,127
마스턴,금,108,프리미엄,7:3,금융,33,망고 쉬림프 샌드위치,양식,0,0.2,0.5,175,210,127
마스턴,월,87,프리미엄,7:3,금융,31,돼지목살들깨김치찜,한식,0,0.6,0.5,115,140,127
마스턴,화,96,프리미엄,7:3,금융,31,돼지목살들깨김치찜,한식,0,0.6,0.5,105,140,127
마스턴,수,108,프리미엄,7:3,금융,30,고추장소불고기,한식,0.6,0.7,0.6,115,140,127
마스턴,목,100,프리미엄,7:3,금융,29,매콤버섯소고기볶음,한식,0.8,0.4,0.6,115,140,127
마스턴,금,88,프리미엄,7:3,금융,30,쉬림프타코,양식,0.2,0.5,0.5,115,150,127
마스턴,월,86,프리미엄,7:3,금융,26,쉬림프타코,양식,0.2,0.5,0.5,175,150,127
마스턴,화,118,프리미엄,7:3,금융,27,그릴드목살 분짜,아시안,0.1,0.4,0.5,110,140,127
마스턴,수,121,프리미엄,7:3,금융,28,숙주삼겹볶음,한식,0.4,0.5,0.5,125,140,127
마스턴,목,101,프리미엄,7:3,금융,25,연어타다키,일식,0,0.5,0,100,120,127
마스턴,금,94,프리미엄,7:3,금융,27,연어타다키,일식,0,0.5,0,145,120,127
마스턴,월,106,프리미엄,7:3,금융,29,미소된장제육,한식,0.4,0.7,0.3,115,140,127
마스턴,화,121,프리미엄,7:3,금융,27,그라브락스연어포케,양식,0,0.1,0.6,195,220,127
마스턴,수,97,프리미엄,7:3,금융,28,소고기데리야끼,일식,0.3,0.5,0.7,120,140,127
마스턴,목,95,프리미엄,7:3,금융,23,소고기데리야끼,일식,0.3,0.5,0.7,125,140,127
마스턴,금,112,프리미엄,7:3,금융,29,간장숯불돼지고기,한식,0.3,0.6,0.6,115,140,127
마스턴,월,122,프리미엄,7:3,금융,29,돼지김치들깨찜,한식,0.5,0.5,0.4,115,140,127
마스턴,화,101,프리미엄,7:3,금융,25,간장삼겹케일볶음,한식,0.3,0.5,0.4,125,140,127
마스턴,수,106,프리미엄,7:3,금융,25,간장삼겹케일볶음,한식,0.3,0.5,0.4,125,140,127
마스턴,목,121,프리미엄,7:3,금융,23,쇠고기 영양부추 무침,한식,0.3,0.6,0.4,125,140,127
마스턴,금,122,프리미엄,7:3,금융,25,소고기강된장비빔밥,한식,0.4,0.4,0.5,125,140,127
마스턴,월,88,프리미엄,7:3,금융,26,삼겹살바베큐,한식,0.5,0.6,0.6,145,160,127
마스턴,화,104,프리미엄,7:3,금융,29,삼겹살바베큐,한식,0.5,0.6,0.6,135,160,127
마스턴,수,120,프리미엄,7:3,금융,27,돼지쇼가야키,일식,0.2,0.5,0.5,120,140,127
마스턴,목,118,프리미엄,7:3,금융,28,연어타다키,일식,0,0.5,0,100,120,127
마스턴,금,88,프리미엄,7:3,금융,25,간장숯불돼지고기,한식,0.3,0.6,0.6,125,140,127
마스턴,월,106,프리미엄,7:3,금융,29,간장 돼지 쪽갈비,한식,0.3,0.6,0.5,115,140,127
마스턴,화,119,프리미엄,7:3,금융,28,버섯크림오므라이스,일식,0.1,0.4,0.6,140,160,127
마스턴,수,119,프리미엄,7:3,금융,20,김치오겹두루치기,한식,0.5,0.6,0.5,125,140,127
마스턴,목,100,프리미엄,7:3,금융,20,묵채밥,한식,0.4,0.1,0,185,200,127
마스턴,금,83,프리미엄,7:3,금융,20,묵채밥,한식,0.4,0.1,0,145,200,127
마스턴,월,108,프리미엄,7:3,금융,25,껌승,아시안,0.3,0.4,0.3,110,140,127
마스턴,화,110,프리미엄,7:3,금융,21,불란서샌드위치,양식,0,0.3,0.5,185,210,127
마스턴,수,85,프리미엄,7:3,금융,19,망고 쉬림프 샌드위치,양식,0,0.2,0.5,185,210,127
마스턴,목,95,프리미엄,7:3,금융,21,스파이시치킨리조또,양식,0.8,0.7,0.5,135,160,127
마스턴,금,118,프리미엄,7:3,금융,22,버섯 샐러드,양식,0,0.2,0.4,195,220,127
마스턴,월,122,프리미엄,7:3,금융,24,된장차슈,일식,0.3,0.6,0.5,120,140,127
마스턴,화,86,프리미엄,7:3,금융,21,소고기고추장불고기,한식,0.7,0.5,0.6,125,140,127
마스턴,수,105,프리미엄,7:3,금융,23,수비드목살스테이크,양식,0,0.3,0.3,115,140,127
마스턴,목,118,프리미엄,7:3,금융,22,메밀묵무침,한식,0.2,0.2,0.1,105,120,127
마스턴,금,108,프리미엄,7:3,금융,18,아보카도 명란 마요덮밥,일식,0.2,0.8,0.4,180,200,127
마스턴,월,93,프리미엄,7:3,금융,17,로스트비프 샌드위치,양식,0.2,0.2,0.5,185,210,127
마스턴,화,106,프리미엄,7:3,금융,18,칠리타이거새우,중식,0.5,0.5,0.7,120,140,127
마스턴,수,108,프리미엄,7:3,금융,20,돼지고기 지짐이,한식,0.2,0.5,0.5,125,140,127
마스턴,목,87,프리미엄,7:3,금융,16,토마토 바질페스토 크로와상,양식,0,0.2,0.5,115,140,127
마스턴,금,104,프리미엄,7:3,금융,13,산토리니쉬림프콜드파스타,양식,0,0.3,0.5,95,120,127
마스턴,월,109,프리미엄,7:3,금융,12,고추장제육볶음,한식,0.6,0.6,0.6,125,140,127
마스턴,화,114,프리미엄,7:3,금융,15,아마트리치아나 파스타,양식,0.7,0.5,0.4,115,140,127
마스턴,수,89,프리미엄,7:3,금융,12,유산슬덮밥,중식,0.5,0.6,0.3,180,200,127
마스턴,목,108,프리미엄,7:3,금융,5,치킨 시저 샐러드,양식,0,0.7,0.5,195,220,127
마스턴,금,118,프리미엄,7:3,금융,9,담양떡갈비정식,한식,0.1,0.5,0.2,125,140,127
마스턴,월,119,프리미엄,7:3,금융,4,돼지고기 지짐이,한식,0.2,0.5,0.5,125,140,127
마스턴,화,101,프리미엄,7:3,금융,5,참치김치볶음밥,한식,0.8,0.7,0.5,185,200,127
마스턴,수,104,프리미엄,7:3,금융,9,바지락칼국수,한식,0.3,0.6,0,145,160,127
마스턴,목,119,프리미엄,7:3,금융,17,미나리삼겹구이,한식,0,0.4,0.2,125,140,127
마스턴,금,122,프리미엄,7:3,금융,13,된장차슈,일식,0.3,0.6,0.5,120,140,127
마스턴,월,98,프리미엄,7:3,금융,6,돼지갈비찜,한식,0.5,0.6,0.6,125,140,127
마스턴,화,105,프리미엄,7:3,금융,10,치밥치킨,한식,0.3,0.6,0.6,145,160,127
마스턴,수,97,프리미엄,7:3,금융,7,두부크림치즈샌드위치,한식,0,0.1,0.6,195,210,127
마스턴,목,98,프리미엄,7:3,금융,5,레드커리,아시안,0.6,0.3,0.1,110,140,127
마스턴,금,86,프리미엄,7:3,금융,7,카라멜라이즈 차슈 비빔 파스타,아시안,0.7,0.5,0.7,110,140,127
마스턴,월,106,프리미엄,7:3,금융,-1,몽골리안비프덮밥,양식,0.3,0.7,0.2,170,200,127
마스턴,화,120,프리미엄,7:3,금융,-1,통삼겹구이와김치찜,한식,0.6,0.6,0.2,120,140,127
마스턴,수,108,프리미엄,7:3,금융,10,바지락칼국수,한식,0.3,0.6,0,145,160,127
마스턴,목,100,프리미엄,7:3,금융,10,포크&글레이즈애플샐러드,양식,0,0.3,0.7,195,220,127
